Wave,Country,Status,Government body,Current lead contact,Title,Source note,Next step
1,Ghana,Already activated,"Ministry of Tourism, Culture and Creative Arts / Ghana Tourism Authority",Abla Dzifa Gomashie; Maame Efua Houadjeto,Minister; Ghana Tourism Authority CEO,"Confirm current as of August 2026, sourced via web search",Request letter of endorsement citing Ashton Hall Africa Tour
1,Cameroon,Already activated,Ministry of Tourism and Leisure,Gabriel Mbairobe,Acting Minister as of March 2026,Confirm current title before contact,Request letter of endorsement citing Ashton Hall Africa Tour
1,Nigeria,Already activated,"Federal Ministry of Arts, Culture, Tourism and Creative Economy",Hannatu Musa Musawa,Minister,Confirm current as of August 2026,"Request letter of endorsement, consider a presence at IATF 2026 in Calabar"
1,Benin,Already activated,Ministry of Tourism and Foreign Trade,Olushegun Adjadi Bakari,"Minister, appointed May 2026","Also served as Foreign Minister, a useful cross sector contact",Request letter of endorsement citing Ashton Hall Africa Tour
1,Rwanda,Already activated,Rwanda Development Board,Jean Guy K Afrika,Chief Executive Officer,"Chief Tourism Officer title has changed hands before, verify before contact",Request letter of endorsement citing Ashton Hall Africa Tour
1,Morocco,Already activated,"Ministry of Tourism, Handicrafts and Social and Solidarity Economy",Fatim Zahra Ammor,Minister,"Confirmed via web search, August 2026",Request letter of endorsement citing the CAF and FRMF AFCON activation
1,Ivory Coast,Already activated,Ministry of Tourism,Roger Kacou,"Minister, per a January 2026 meeting in Paris",Confirm current title before contact,Request letter of endorsement citing the Zaouli activation and Race Weekend Abidjan
2,Kenya,Warm approach planned,Ministry of Tourism and Wildlife / Kenya Tourism Board,Needs research,,"High tourism budget and momentum, Magical Kenya Travel Expo in October 2026 is a natural entry point",Research current officials ahead of the Expo
2,Senegal,Warm approach planned,Ministry of Tourism,Needs research,,,Research current officials
2,Tanzania,Warm approach planned,Ministry of Natural Resources and Tourism,Needs research,,,Research current officials
2,Egypt,Warm approach planned,Ministry of Tourism and Antiquities,Needs research,,,Research current officials
2,South Africa,Warm approach planned,Department of Tourism,Needs research,,,Research current officials
2,Seychelles,Warm approach planned,Ministry of Tourism,Needs research,,,Research current officials
3,Algeria,Not yet researched,,,,,Research government body and current officials before any contact
3,Angola,Not yet researched,,,,,Research government body and current officials before any contact
3,Botswana,Not yet researched,,,,,Research government body and current officials before any contact
3,Burkina Faso,Not yet researched,,,,,Research government body and current officials before any contact
3,Burundi,Not yet researched,,,,,Research government body and current officials before any contact
3,Cabo Verde,Not yet researched,,,,,Research government body and current officials before any contact
3,Central African Republic,Not yet researched,,,,,Research government body and current officials before any contact
3,Chad,Not yet researched,,,,,Research government body and current officials before any contact
3,Comoros,Not yet researched,,,,,Research government body and current officials before any contact
3,"Congo, Republic of",Not yet researched,,,,,Research government body and current officials before any contact
3,"Congo, Democratic Republic of",Not yet researched,,,,,Research government body and current officials before any contact
3,Djibouti,Not yet researched,,,,,Research government body and current officials before any contact
3,Equatorial Guinea,Not yet researched,,,,,Research government body and current officials before any contact
3,Eritrea,Not yet researched,,,,,Research government body and current officials before any contact
3,Eswatini,Not yet researched,,,,,Research government body and current officials before any contact
3,Ethiopia,Not yet researched,,,,,Research government body and current officials before any contact
3,Gabon,Not yet researched,,,,,Research government body and current officials before any contact
3,Gambia,Not yet researched,,,,,Research government body and current officials before any contact
3,Guinea,Not yet researched,,,,,Research government body and current officials before any contact
3,Guinea Bissau,Not yet researched,,,,,Research government body and current officials before any contact
3,Lesotho,Not yet researched,,,,,Research government body and current officials before any contact
3,Liberia,Not yet researched,,,,,Research government body and current officials before any contact
3,Libya,Not yet researched,,,,,Research government body and current officials before any contact
3,Madagascar,Not yet researched,,,,,Research government body and current officials before any contact
3,Malawi,Not yet researched,,,,,Research government body and current officials before any contact
3,Mali,Not yet researched,,,,,Research government body and current officials before any contact
3,Mauritania,Not yet researched,,,,,Research government body and current officials before any contact
3,Mauritius,Not yet researched,,,,,Research government body and current officials before any contact
3,Mozambique,Not yet researched,,,,,Research government body and current officials before any contact
3,Namibia,Not yet researched,,,,,Research government body and current officials before any contact
3,Niger,Not yet researched,,,,,Research government body and current officials before any contact
3,Sao Tome and Principe,Not yet researched,,,,,Research government body and current officials before any contact
3,Sierra Leone,Not yet researched,,,,,Research government body and current officials before any contact
3,Somalia,Not yet researched,,,,,Research government body and current officials before any contact
3,South Sudan,Not yet researched,,,,,Research government body and current officials before any contact
3,Sudan,Not yet researched,,,,,Research government body and current officials before any contact
3,Togo,Not yet researched,,,,,Research government body and current officials before any contact
3,Tunisia,Not yet researched,,,,,Research government body and current officials before any contact
3,Uganda,Not yet researched,,,,,Research government body and current officials before any contact
3,Zambia,Not yet researched,,,,,Research government body and current officials before any contact
3,Zimbabwe,Not yet researched,,,,,Research government body and current officials before any contact
